material_id,formula,band_gap,e_above_hull,composition_obj,space_group,predicted_gap_pbe,predicted_gap_exp,prediction_uncertainty,uncertainty,priority_score
mp-567781,Cs3Zr7BCl20,1.1888,0.0,Cs6 Zr14 B2 Cl40,167,1.2849055886259335,1.2849055886259335,0.14845343288753016,0.14845343288753007,0.5849729769065564
mp-28247,K2PtI6,0.8659999999999991,0.0,K4 Pt2 I12,128,1.1941787716654781,1.1941787716654781,0.3022452351598344,0.3022452351598344,0.5830765873263696
mp-23038,CsVBr3,0.6528,0.0,Cs2 V2 Br6,194,1.1577515920498826,1.1577515920498826,0.3620482349343769,0.3620482349343768,0.5804865290105099
mp-998412,KGeBr3,0.9083000000000001,0.025231168000005,K1 Ge1 Br3,8,1.2583509166951827,1.2583509166951827,0.2986905489750873,0.2986905489750873,0.5803174008432701
mp-23065,CsCu2Cl3,1.829899999999999,0.01299734333333,Cs2 Cu4 Cl6,63,1.3067132383926299,1.30671323839263,0.16090353310995245,0.16090353310995245,0.5788152645237156
mp-1209403,RbFeI4,0.5942000000000001,0.0,Rb4 Fe4 I16,14,1.1552078413800067,1.1552078413800067,0.35862672309553295,0.35862672309553295,0.5731626153646495
mp-1114168,Rb2TlAsI6,0.9147999999999991,0.034806718499998,Rb2 Tl1 As1 I6,225,1.3522424993694122,1.3522424993694122,0.20291477760908283,0.20291477760908283,0.5632344242873683
mp-36330,Li2VCl4,1.228499999999999,0.001254277380949,Li4 V2 Cl8,74,1.115288475510942,1.115288475510942,0.41891405609299487,0.41891405609299487,0.560267748149124
mp-23067,K2PdCl6,1.2027,0.0,K2 Pd1 Cl6,225,1.4559428783874975,1.4559428783874975,0.2235284156355661,0.2235284156355661,0.5573107864959645
mp-1112892,Cs2InBiBr6,0.853399999999999,0.001883916666667,Cs2 In1 Bi1 Br6,225,1.2185757990863275,1.2185757990863275,0.22736798810427347,0.22736798810427344,0.5443777607465079
mp-29988,CsPd2Cl5,1.3036,0.00038167468749900004,Cs4 Pd8 Cl20,62,1.4523230119392168,1.4523230119392168,0.20478690132704377,0.20478690132704383,0.5439766717930898
mp-27381,CsSnI3,2.0632,0.003249338499999,Cs4 Sn4 I12,62,1.130002577719234,1.130002577719234,0.3820634976503765,0.3820634976503765,0.5412326221125785
mp-1205847,Cs2PdBr6,0.756,0.0,Cs2 Pd1 Br6,225,1.4333183352886958,1.4333183352886958,0.1659337547711164,0.16593375477111635,0.5396914532554482
